index,dba,make,make_slug,model,model_slug,light_type,spectrum_type,spectrum_description,PPF,efficacy_umol_joule,Hz_low,Hz_high,VAC_low,VAC_high,max_Watts,flowering_footprint_length_ft,flowering_footprint_width_ft,veg_footprint_length_ft,veg_footprint_width_ft,flowering_mounting_height_min_inches,flowering_mounting_height_max_inches,veg_mounting_height_min_inches,veg_mounting_height_max_inches,Thermal Management,max_ambient_temperature_c,max_ambient_temperature_f,dimmable,dimming_options,dimensions_length_inches,dimensions_width_inches,dimensions_height_inches,weight_lb,lifespan_hours,Warranty_years,Certifications,price,pdf,img,url,affiliate_url,data_timestamp
L-0013,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,ROI-FF,roi-ff,LED,Full,GC-3K Full Phase,1950,3,50,60,108,480,650,,,,,6,24,18,24,Passive,40,104,TRUE,0-10V,45,44,4.2,22,54000,5,"IP65, ETL, CE, DLC",1099,roi-ff.pdf,roi-ff.png,https://www.growersc.com/product/roi-ff,,2026-07-07
L-0014,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,ROI-FV,roi-fv,LED,Full,GC-5KF,928,2.9,50,60,277,480,320,,,,,12,18,18,24,Passive,40,104,TRUE,0-10V & Step Dimming,45,22,4.2,20,54000,5,"IP65, ETL, CE, DLC",699,roi-fv.pdf,roi-fv.png,https://www.growersc.com/product/roi-fv,,2026-07-07
L-0015,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,TSL-800,tsl-800,LED,Full,GC-3KF Bloom Phase,2400,3,50,60,220,220,800,,,,,48,60,18,24,Passive,40,104,TRUE,0-10V & Step Dimming,21.2,16.1,11,32,36000,5,"UL, CE, DLC",1199,tsl-800.pdf,tsl-800.png,https://www.growersc.com/product/tsl-800,,2026-07-07
L-0016,Gavita,Gavita Horticultural Lighting,gavita_horticultural_lighting,LED Clone Bar,gavita-clone-bar,LED,Full,LIGHT DISTRIBUTION: 120°,,,50,60,120,277,18,,,,,12,18,18,24,Passive,40,104,FALSE,,44.09,1.15,1.46,0.835,,5,Conforms to ANSI/UL STD 1598. Certified to CSA STD C22.2 No. 250.0. Conforms to ANSI/CAN/UL STD 8800. cETLus Listed.,80,gavita-clone-bar.pdf,gavita-clone-bar.png,https://gavita.com/products/gavita-clone-bar,,2026-07-07
L-0017,Gavita,Gavita Horticultural Lighting,gavita_horticultural_lighting,CT 2000e,gavita-ct-2000-led,LED,Full,"LIGHTING SCHEME: Horizontal, Top Light use, Sole 
source or supplemental lighting",,,50,60,208,480,650,,,,,12,18,18,24,Passive,40,104,TRUE,"0-10V Dim of Off. Power Monitoring with the
Gavita EL3 Master Controller",24.6,12.1,5.3,34.5,,5,Conforms to ANSI/CAN/UL STD 8800 Conforms to ANSI/UL STD 1598 Conforms to ANSI/UL STD 8750 Certified to CSA STD C22.2 No. 250.0 Certified to CSA STD C22.2 No. 250.13,900,gavita-ct-2000-led.pdf,gavita-ct-2000-led.png,https://gavita.com/products/gavita-ct-2000-led,,2026-07-07
L-0018,Gavita,Gavita Horticultural Lighting,gavita_horticultural_lighting,Pro RS 2400e LED,pro-rs-2400e-led,LED,Full,"LIGHTING SCHEME: Horizontal, Top Light use, Sole 
source or supplemental lighting",,,50,60,208,480,750,,,,,12,18,18,24,Passive,40,104,TRUE,"0-10V Dim of Off. Power Monitoring with the
Gavita EL3 Master Controller",44.8,43.25,3.3,33.6,,5,Conforms to ANSI/UL STD 1598. Certified to CSA STD C22.2 No. 250.0. Conforms to ANSI/CAN/UL STD 8800. Conforms to ANSI/UL STD 8750 Certified to CSA STD C22.2 No. 250.13,900,pro-rs-2400e-led.pdf,pro-rs-2400e-led.png,https://gavita.com/products/pro-rs-2400e-led,,2026-07-07
L-0019,Gavita,Gavita Horticultural Lighting,gavita_horticultural_lighting,RS 1900e,gavita-rs-1900e-led,LED,Full,,,,50,60,208,480,650,,,,,12,18,18,24,Passive,40,104,TRUE,0-10V Dimmable,44.8,43.25,3.3,29.8,,5,Conforms to ANSI/UL STD 1598. Certified to CSA STD C22.2 No. 250.0. Conforms to ANSI/CAN/UL STD 8800. Conforms to ANSI/UL STD 8750 Certified to CSA STD C22.2 No. 250.14,600,gavita-rs-1900e-led.pdf,gavita-rs-1900e-led.png,https://gavita.com/products/gavita-rs-1900e-led,,2026-07-07
L-0020,Gavita,Gavita Horticultural Lighting,gavita_horticultural_lighting,Under Canopy 150W LED,gavita-under-canopy-150w-led,LED,Full,LIGHT DISTRIBUTION: 155°,,,50,60,120,277,150,,,,,12,18,18,24,Passive,40,104,TRUE,"0-10V IEC60929 Annex E, RJ12, Dim to Off",44.8,43.25,3.3,33.6,,5,Conforms to ANSI/UL STD 1598. Certified to CSA STD C22.2 No. 250.0. Conforms to ANSI/CAN/UL STD 8800.,160,gavita-under-canopy-150w-led.pdf,gavita-under-canopy-150w-led.png,https://gavita.com/products/gavita-under-canopy-150w-led,,2026-07-07
L-0021,AC Infinity,AC Infinity Inc.,ac_infinity_inc,IONFRAME EVO3,ionframe-evo3,LED,Full,"Samsung LM301H EVO (395nm, 660nm, 730nm, 3000K, 5000K)",1745,3.14,50,60,100,277,280,3,5,2,4,12,18,18,24,Passive,60,140,TRUE,Digital Dimming Timer,16.14,32.67,3.03,,50000,,IP65 ETL Cert. 5021417,300,ionframe-evo3.pdf,ionframe-evo3.png,https://acinfinity.com/ionframe-evo3-grow-light-280w-full-spectrum-led-2x4-coverage,,2026-07-07
L-0022,AC Infinity,AC Infinity Inc.,ac_infinity_inc,IONFRAME EVO4,ionframe-evo4,LED,Full,"Samsung LM301H EVO (395nm, 660nm, 730nm, 3000K, 5000K)",1819,3.14,50,60,100,277,300,3,3,4,4,12,18,18,24,Passive,60,140,TRUE,Digital Dimming Timer,20.47,22.83,2.99,,50000,,IP65 ETL Cert. 5021417,360,ionframe-evo4.pdf,ionframe-evo4.png,https://acinfinity.com/ionframe-evo4-grow-light-300w-full-spectrum-led-3x3-coverage,,2026-07-07
